任务定义表,crawl_job,,X,X,X,X
任务类型表,crawl_job_category,,X,X,X,X
任务配置表,crawl_config,,X,X,X,X
任务运行状态表,crawl_status,,X,X,X,X
采集页面定义表,crawl_page_config,,X,X,X,X
页面链接定义表,page_link,,X,X,X,X
页面字段定义表,page_field,,X,X,X,X
服务器配置表,crawl_host,,X,X,X,X
采集页面表,crawl_page,,X,X,X,X
代理服务器定义表,poxy_server,,X,X,X,X
代理服务器应用表,poxy_assign,,X,X,X,X
用户定义表,user,,X,X,X,X
用户角色定义表,user_role,,X,X,X,X
用户角色分配表,user_role_assign,,X,X,X,X
系统功能模块表,app_module,,X,X,X,X
用户角色权限表,user_role_privilege,,X,X,X,X
用户组定义表,user_group,,X,X,X,X
用户组成员表,user_group_member,,X,X,X,X
数据源类型表,crawl_src_type,,X,X,X,X
非结构化数据抽取规则表,nstruct_ext_config,,X,X,X,X
非结构化数据抽取规则应用表,nstruct_ext_page,,X,X,X,X
非结构化数据字段定义表,nstruct_field,,X,X,X,X
任务编号,job_id,,X,X,X,X
任务名称,job_name,,X,X,X,X
生效标志,is_valid,,X,X,X,X
用户编号,user_id,,X,X,X,X
服务器编号,host_id,,X,X,X,X
下次启动时间,next_start_time,,X,X,X,X
运行间隔时间,crawl_interval,,X,X,X,X
最大采集页面数,max_page_num,,X,X,X,X
最大采集深度,max_depth,,X,X,X,X
页面保存周期,page_life_cycle,,X,X,X,X
起始页面编号,entry_page_id,,X,X,X,X
采集类型编号,job_cat_id,,X,X,X,X
数据源类型编号,crawl_src_type_id,,X,X,X,X
采集类型名称,job_cat_name,,X,X,X,X
上级采集类型编号,super_cat_id,,X,X,X,X
参数名称,param_name,,X,X,X,X
参数值,param_value,,X,X,X,X
启动时间,start_time,,X,X,X,X
运行状态,run_status,,X,X,X,X
已抓取页面数,download_page_num,,X,X,X,X
待抓取页面数,pending_page_num,,X,X,X,X
抓取失败页面数,error_page_num,,X,X,X,X
页面编号,page_id,,X,X,X,X
页面名称,page_name,,X,X,X,X
下级页面编号,next_page_id,,X,X,X,X
页面类型,page_type,,X,X,X,X
页面URL模式,url_pattern,,X,X,X,X
数据格式,data_format,,X,X,X,X
数据存储类型,data_store_type,,X,X,X,X
数据存储路径,data_store_path,,X,X,X,X
链接编号,link_id,,X,X,X,X
链接定位模式,link_locate_pattern,,X,X,X,X
链接抽取模式,link_ext_pattern,,X,X,X,X
字段编号,field_id,,X,X,X,X
字段名称,field_name,,X,X,X,X
上级字段编号,parent_field_id,,X,X,X,X
字段定位模式,field_locate_pattern,,X,X,X,X
字段抽取模式,field_ext_pattern,,X,X,X,X
数据源类型名称,crawl_src_type_name,,X,X,X,X
服务器名称,host_name,,X,X,X,X
服务器IP,host_ip,,X,X,X,X
在线状态,host_status,,X,X,X,X
用户组编号,user_group_id,,X,X,X,X
页面URL,page_url,,X,X,X,X
采集时间,download_time,,X,X,X,X
用户名称,user_name,,X,X,X,X
用户类型,user_type,,X,X,X,X
注册日期,reg_date,,X,X,X,X
上次登录时间,last_login_time,,X,X,X,X
用户状态,user_status,,X,X,X,X
是否增量,is_inc_ext,,X,X,X,X
用户角色编号,user_role_id,,X,X,X,X
用户角色名称,user_role_name,,X,X,X,X
模块编号,module_id,,X,X,X,X
模块名称,module_name,,X,X,X,X
上级模块编号,super_module_id,,X,X,X,X
模块访问权限,access_privilege,,X,X,X,X
用户组编号,user_group_id,,X,X,X,X
用户组名称,user_group_name,,X,X,X,X
上级用户组编号,super_user_group_id,,X,X,X,X
代理服务器编号,proxy_server_id,,X,X,X,X
代理服务器名称,proxy_server_name,,X,X,X,X
代理服务器IP,proxy_server_ip,,X,X,X,X
代理用户名,proxy_user_name,,X,X,X,X
代理用户口令,proxy_user_password,,X,X,X,X
非结构化抽取规则编号,nstruct_ext_rule_id,,X,X,X,X
规则名称,nstruct_ext_rule_name,,X,X,X,X
非结构化数据编号,nstruct_data_id,,X,X,X,X
是否多页,is_multi_page,,X,X,X,X
翻页元素,paginate_element,,X,X,X,X
字段数据类型,field_datatype,,X,X,X,X
加载完成标志元素,load_indicator,,X,X,X,X
参数编号,param_id,,X,X,X,X
翻页间隔时间,page_interval,,X,X,X,X
字段定位表,page_field_locate,,X,X,X,X
页面字段定位关系表,page_field_locate_relation,,X,X,X,X
字段定位编号,field_locate_id,,X,X,X,X
最大页数,max_page_num,,X,X,X,X
数据存储编号,data_store_id,,X,X,X,X
数据存储,data_store,,X,X,X,X
数据存储参数,data_store_param,,X,X,X,X
合并元素数据,combine_field_value,,X,X,X,X
起始URL列表,start_urls,,X,X,X,X
保存页面源码,save_page_source,,X,X,X,X
数据文件,data_file,,X,X,X,X
任务调度表,job_schedule,,X,X,X,X
任务调度编号,job_schedule_id,,X,X,X,X
任务调度参数表,job_schedule_param,,X,X,X,X
任务调度类型,job_schedule_type,,X,X,X,X
